lon,lat,name,beschreibung,adresse,telefon,transport,medium,link,category,category_id
13.42825,52.48896,Afghanisches Kommunikations- und Kulturzentrum e.V.,"Support and consultation services for refugees. Languages: German, Dari","**Adress:** Friedelstraße 10, 12047 Berlin",**Phone:** +49 30 831 060 88,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,,Counseling,1
13.35291,52.49508,Afrika Center in Berlin,Consultation services for refugees and migrants from African countries. Appointment upon request.,"**Adress:** Hohenstaufenstr. 3, 10781 Berlin",**Phone:** +49 30 2169170,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** afrika-center.berlin@t-online.de,**Website:** http://www.afrika-center-berlin.com,Counseling,1
13.43291,52.47731,Al Muntada (Diakoniewerk Simeon e.V.),"Free support and consultation services for refugees and migrants, especially from Arabic countries.","**Adress:** Morusstraße 18a, 12053 Berlin-Neukölln",**Phone:** +49 30 682 47 719,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** almuntada@diakoniewerk-simeon.de,**Website:** http://www.diakonie-integrationshilfe.de/sis-leistungen/beratung/al-muntada.html,Counseling,1
13.3323439,52.4684505,AL NADI: Treffpunkt und Beratungsstelle für arabische Frauen,"Free support, language courses and consultation services for Arabic women. Appointment upon request.","**Adress:** Rheinstr. 53-54, 12161 Berlin",**Phone:** +49 30 8520602,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** alnadi@nbhs.de,**Website:** https://www.nbhs.de/stadtteilarbeit/al-nadi-fuer-arabische-frauen,Counseling,1
13.408920764923097,52.5031611404552,Amaro Drom e.V.,Free support and consultation services for Roma.,"**Adress:** Haus am Moritzplatz, Prinzenstraße 84, 10969 Berlin",**Phone:** +49 30 61620010,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** info@amarodrom.de,**Website:** http://www.amarodrom.de,Counseling,1
13.4254535,52.5286403,Amnesty International,Consultation Services for refugees and migrants. ,"**Adress:** Greifswalder Straße 4, 10405 Berlin",**Phone:** +49 30 84109052,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**Website:** http://www.amnesty-asylgruppe-berlin.de/Main/Asylberatung|www.amnesty-asylgruppe-berlin.de,,Counseling,1
13.40996,52.48913,Arbeitskreis Neue Erziehung e.V.,Educational and family counselling in many languages,"**Adress:** Hasenheide 54, 10967 Berlin ",**Phone:** +49 30 25900628,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**E-Mail:** ifb@ane.de,Counseling,1
13.4064671,52.5005346,"Asyl in der Kirche, Asyl- und Flüchtlingsberatung",Free support and consultation services for refugees and migrants.,"**Adress:**  St.-Simeon-Kirche, Wassertorstraße 21a 10969 Berlin ",**Phone:** +49 30 691 41 83,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** beratung@kirchenasyl-berlin.de,**Website:** http://www.kirchenasyl-berlin.de,Counseling,1
13.50331,52.52653,Asylerstberatung in der Erstaufnahme für Asylsuchende,Free support and consultation services for refugees and migrants.,"**Adress:** Waldschluchtpfad 27, 14089 Berlin-Gatow",**Phone:** +49 30 36508 313 ,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** asyl@awo-mitte.de,,Counseling,1
13.17623,52.46843,Asylerstberatung in der Erstaufnahme für Asylsuchende,Free support and consultation services for refugees and migrants.,"**Adress:** Herzbergstraße 82-84, 10365 Berlin-Lichtenberg",**Phone:** +49 30 22502757 31 ,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** asyl@awo-mitte.de,,Counseling,1
