lon,lat,lon,name,beschreibung,adresse,telefon,medium,link,category,category_id
13.183.660,52.509990,13.183660,Fußball mit Sport-Union Berlin,"Football, trial training for refugees at Sport-Union Berlin, every Wednesday at 20:00.","**Adress:** Sandheideweg 26, 13595 Berlin                   ",**Phone:** 0172 617 85 03,**Info:** https://www.facebook.com/SportUnionBerlin/,,Sports & Free Time,13
13.406.040,52.545950,13.406040,Pfeffersport e.V.- Bambini,"Exercise and free play for toddlers, space to race, climbing, jumping, swinging, rocking, rolling, throwing and catching. Age 2 to 4 years, Thursday, 16.15 - 17.30h","**Adress:** Max-Schmelinghalle Halle A+B, Am Falkplatz 1, 10437 Berlin",,**Info:** https://www.pfeffersport.de,**E-Mail:** katzmann@pfeffersport.de,Sports & Free Time,13
13.412.800,52.498670,13.412800,Bikeygees,Learn how to ride a bicycle: Regular open training sessions take place every third Sunday of the month from 2pm to 4pm at the Jugendverkehrsschule Wassertorplatz,"**Adress:** Wassertorpl. 1, 10999 Berlin",,**Info:** http://bikeygees.org/en/,,Sports & Free Time,13
13.423.017,52.559050,13.423017,Pfeffersport e.V. - Parksport Bambini,"Exercise and free play for toddlers, space to race, climbing, jumping, swinging, rocking, rolling, throwing and catching. Age 2 to 4 years, Friday 16.30 to 17.45, The outdoor offer takes place from May to October - also during the summer holidays.","**Adress:** Rasensportplatz (outdoor) im Peter-Panter-Park, Neumannstraße 11, 13189 Berlin",,**Info:** https://www.pfeffersport.de,**E-Mail:** katzmann@pfeffersport.de,Sports & Free Time,13
13.423.017,52.559050,13.423017,Pfeffersport e.V. - Parksport Ragazzi,"Open sports-spanning movement and game offers. Game phase consists of many small games, e.g. Singing, Catching & Running Games. Age 5 to 7 years, date: Friday 16.30 bis 17.45 clock, The outdoor offer takes place from May to October - also in the summer holidays - instead.","**Adress:** Rasensportplatz (outdoor) im Peter-Panter-Park, Neumannstraße 11, 13189 Berlin",,**Info:** https://www.pfeffersport.de,**E-Mail:** katzmann@pfeffersport.de,Sports & Free Time,13
13.450.688,52.531169,13.450688,Pfeffersport e.V.- Ragazzi Seelenbinder,"Open sports-spanning movement and game offers. Game phase consists of many small games, e.g. Singing, Catching & Running Games. Age 5 to 7 years, date: Thursday, 16.15 - 17.30h.","**Adress:** Werner-Seelenbinder-Sporthalle (Eingang rechts neben der, Schwimmhalle am Velodrom), Paul-Heyse-Straße 26, 10407 Berlin",,**Info:** https://www.pfeffersport.de,**E-Mail:** katzmann@pfeffersport.de,Sports & Free Time,13
13.446.870,52.535259,13.446870,Pfeffersport e.V. - Ragazzi Kniprode,"Open sports-spanning movement and game offers. Game phase consists of many small games, e.g. Singing, Catching & Running Games. Age 5 to 7 years, date: Wednesday, 16.15 - 17.30h","**Adress:** Kniprodestraße 27, 10407 Berlin",,**Info:** https://www.pfeffersport.de,**E-Mail:** katzmann@pfeffersport.de,Sports & Free Time,13
13.446.870,52.535259,13.446870,Pfeffersport e.V. - Amici Kniprode,"Play, Dance and Acrobatics. Interdisciplinary for children between 7 and 12 years. Appointment: Friday, 17.15 - 18.15h","**Adress:** Kniprodestraße 27, 10407 Berlin",,**Info:** https://www.pfeffersport.de,,Sports & Free Time,13
13.428.220,52.535230,13.428220,Pfeffersport e.V. - Zirkus,"Circus games, acrobatics, building human pyramids, juggling, riding a unicycle and dancing. Appointment: Tuesday from 16.00 to 17.00 - 8 to 11 years Tuesday from 17.00 to 18.00 - 12 to 15 years.","**Adress:** Christburg Campus, Christburger Straße 14, 10405 Berlin",,**Info:** https://www.pfeffersport.de,,Sports & Free Time,13
13.450.688,52.531169,13.450688,Pfeffersport e.V. - Ballwechsel,"Everything that can be played with balls. Through football, hockey, basketball and many other sports, children between the ages of 7 and 11 playfully approach a variety of balls. Date: Thursday, 16.15 - 17.45h","**Adress:** Werner-Seelenbinder-Halle (Eingang rechts neben der Schwimmhalle Am Velodrom), Paul-Heyse-Straße 26, 10407 Berlin",,**Info:** https://www.pfeffersport.de,,Sports & Free Time,13
